,Zip,Complain,Count
346,10458,Animal in a Park,5
347,10460,Animal in a Park,8
348,10461,Animal in a Park,14
349,10462,Animal in a Park,25
350,10463,Animal in a Park,13
351,10464,Animal in a Park,2
352,10465,Animal in a Park,13
353,10466,Animal in a Park,2
354,10467,Animal in a Park,17
355,10468,Animal in a Park,6
356,10469,Animal in a Park,4
357,10470,Animal in a Park,1
358,10471,Animal in a Park,2
359,10472,Animal in a Park,2
360,10473,Animal in a Park,7
361,10474,Animal in a Park,1
362,10475,Animal in a Park,2
363,11004,Animal in a Park,3
364,11101,Animal in a Park,5
365,11102,Animal in a Park,2
366,11104,Animal in a Park,10
367,11105,Animal in a Park,9
368,11201,Animal in a Park,28
369,11203,Animal in a Park,4
370,11204,Animal in a Park,4
371,11205,Animal in a Park,5
372,11206,Animal in a Park,5
373,11207,Animal in a Park,7
374,11209,Animal in a Park,15
375,11210,Animal in a Park,6
376,11211,Animal in a Park,17
377,11212,Animal in a Park,4
378,11213,Animal in a Park,3
379,11214,Animal in a Park,1
380,11215,Animal in a Park,156
381,11216,Animal in a Park,5
382,11217,Animal in a Park,9
383,11218,Animal in a Park,5
384,11219,Animal in a Park,2
385,11220,Animal in a Park,7
386,11221,Animal in a Park,1
387,11222,Animal in a Park,13
388,11223,Animal in a Park,4
389,11224,Animal in a Park,5
390,11225,Animal in a Park,4
391,11226,Animal in a Park,3
392,11228,Animal in a Park,3
393,11229,Animal in a Park,5
394,11230,Animal in a Park,5
395,11231,Animal in a Park,8
396,11232,Animal in a Park,14
397,11233,Animal in a Park,5
398,11234,Animal in a Park,1
399,11235,Animal in a Park,24
400,11236,Animal in a Park,4
401,11237,Animal in a Park,2
402,11238,Animal in a Park,3
403,11239,Animal in a Park,1
404,11249,Animal in a Park,12
405,11354,Animal in a Park,7
406,11355,Animal in a Park,3
407,11356,Animal in a Park,3
408,11357,Animal in a Park,3
409,11358,Animal in a Park,1
410,11360,Animal in a Park,5
411,11361,Animal in a Park,9
412,11364,Animal in a Park,3
413,11365,Animal in a Park,16
414,11366,Animal in a Park,1
415,11367,Animal in a Park,1
416,11368,Animal in a Park,3
417,11369,Animal in a Park,2
418,11370,Animal in a Park,1
419,11372,Animal in a Park,1
420,11373,Animal in a Park,5
421,11375,Animal in a Park,28
422,11377,Animal in a Park,2
423,11378,Animal in a Park,12
424,11379,Animal in a Park,9
425,11385,Animal in a Park,26
426,11412,Animal in a Park,1
427,11413,Animal in a Park,6
428,11414,Animal in a Park,2
429,11417,Animal in a Park,3
430,11418,Animal in a Park,1
431,11419,Animal in a Park,2
432,11420,Animal in a Park,1
433,11421,Animal in a Park,1
434,11422,Animal in a Park,1
435,11423,Animal in a Park,10
436,11426,Animal in a Park,7
437,11427,Animal in a Park,1
438,11432,Animal in a Park,4
439,11433,Animal in a Park,6
440,11434,Animal in a Park,8
441,11436,Animal in a Park,4
442,11691,Animal in a Park,2
443,11693,Animal in a Park,1
444,11694,Animal in a Park,15
445,,APPLIANCE,58
446,10002,APPLIANCE,15
447,10003,APPLIANCE,15
448,10009,APPLIANCE,19
449,10010,APPLIANCE,1
450,10011,APPLIANCE,12
451,10012,APPLIANCE,4
452,10013,APPLIANCE,3
453,10014,APPLIANCE,10
454,10016,APPLIANCE,11
455,10017,APPLIANCE,1
456,10018,APPLIANCE,1
457,10019,APPLIANCE,15
458,10021,APPLIANCE,7
459,10022,APPLIANCE,2
460,10023,APPLIANCE,5
461,10024,APPLIANCE,16
462,10025,APPLIANCE,42
463,10026,APPLIANCE,36
464,10027,APPLIANCE,69
465,10028,APPLIANCE,4
466,10029,APPLIANCE,44
467,10030,APPLIANCE,52
468,10031,APPLIANCE,110
469,10032,APPLIANCE,118
470,10033,APPLIANCE,71
471,10034,APPLIANCE,50
472,10035,APPLIANCE,25
473,10036,APPLIANCE,21
474,10037,APPLIANCE,32
475,10038,APPLIANCE,2
476,10039,APPLIANCE,32
477,10040,APPLIANCE,55
478,10044,APPLIANCE,2
479,10065,APPLIANCE,5
480,10075,APPLIANCE,2
481,10128,APPLIANCE,26
482,10301,APPLIANCE,17
483,10302,APPLIANCE,5
484,10303,APPLIANCE,12
485,10304,APPLIANCE,24
486,10305,APPLIANCE,5
487,10306,APPLIANCE,8
488,10307,APPLIANCE,1
489,10308,APPLIANCE,3
490,10309,APPLIANCE,4
491,10310,APPLIANCE,12
492,10312,APPLIANCE,2
493,10314,APPLIANCE,20
494,10451,APPLIANCE,57
495,10452,APPLIANCE,115
496,10453,APPLIANCE,131
497,10454,APPLIANCE,43
498,10455,APPLIANCE,46
499,10456,APPLIANCE,140
500,10457,APPLIANCE,148
501,10458,APPLIANCE,137
502,10459,APPLIANCE,69
503,10460,APPLIANCE,114
504,10461,APPLIANCE,27
505,10462,APPLIANCE,57
506,10463,APPLIANCE,65
507,10465,APPLIANCE,12
508,10466,APPLIANCE,83
509,10467,APPLIANCE,151
510,10468,APPLIANCE,135
511,10469,APPLIANCE,47
512,10470,APPLIANCE,26
513,10471,APPLIANCE,5
514,10472,APPLIANCE,73
515,10473,APPLIANCE,28
516,10474,APPLIANCE,13
517,10475,APPLIANCE,1
518,11101,APPLIANCE,16
519,11102,APPLIANCE,17
520,11103,APPLIANCE,24
521,11104,APPLIANCE,9
522,11105,APPLIANCE,20
523,11106,APPLIANCE,8
524,11201,APPLIANCE,2
525,11203,APPLIANCE,100
526,11204,APPLIANCE,19
527,11205,APPLIANCE,20
528,11206,APPLIANCE,29
529,11207,APPLIANCE,125
530,11208,APPLIANCE,110
531,11209,APPLIANCE,29
532,11210,APPLIANCE,58
533,11211,APPLIANCE,26
534,11212,APPLIANCE,107
535,11213,APPLIANCE,119
536,11214,APPLIANCE,11
537,11215,APPLIANCE,15
538,11216,APPLIANCE,94
539,11217,APPLIANCE,9
540,11218,APPLIANCE,38
541,11219,APPLIANCE,21
542,11220,APPLIANCE,50
543,11221,APPLIANCE,108
544,11222,APPLIANCE,9
545,11223,APPLIANCE,15
546,11224,APPLIANCE,28
547,11225,APPLIANCE,104
548,11226,APPLIANCE,210
549,11228,APPLIANCE,4
550,11229,APPLIANCE,43
551,11230,APPLIANCE,45
552,11231,APPLIANCE,7
553,11232,APPLIANCE,18
554,11233,APPLIANCE,110
555,11234,APPLIANCE,22
556,11235,APPLIANCE,43
557,11236,APPLIANCE,38
558,11237,APPLIANCE,42
559,11238,APPLIANCE,63
560,11239,APPLIANCE,1
561,11249,APPLIANCE,34
562,11354,APPLIANCE,8
563,11355,APPLIANCE,20
564,11356,APPLIANCE,1
565,11357,APPLIANCE,2
566,11358,APPLIANCE,6
567,11360,APPLIANCE,2
568,11361,APPLIANCE,7
569,11364,APPLIANCE,3
570,11365,APPLIANCE,6
571,11366,APPLIANCE,3
572,11367,APPLIANCE,19
573,11368,APPLIANCE,32
574,11369,APPLIANCE,8
575,11370,APPLIANCE,7
576,11372,APPLIANCE,35
577,11373,APPLIANCE,27
578,11374,APPLIANCE,12
579,11375,APPLIANCE,11
580,11377,APPLIANCE,25
581,11378,APPLIANCE,7
582,11379,APPLIANCE,6
583,11385,APPLIANCE,40
584,11411,APPLIANCE,5
585,11412,APPLIANCE,21
586,11413,APPLIANCE,11
587,11414,APPLIANCE,11
588,11415,APPLIANCE,5
589,11416,APPLIANCE,5
590,11417,APPLIANCE,8
591,11418,APPLIANCE,18
592,11419,APPLIANCE,22
593,11420,APPLIANCE,16
594,11421,APPLIANCE,5
595,11422,APPLIANCE,12
596,11423,APPLIANCE,16
597,11426,APPLIANCE,2
598,11427,APPLIANCE,7
599,11428,APPLIANCE,4
600,11429,APPLIANCE,8
601,11432,APPLIANCE,38
602,11433,APPLIANCE,30
603,11434,APPLIANCE,31
604,11435,APPLIANCE,37
605,11436,APPLIANCE,10
606,11691,APPLIANCE,48
607,11692,APPLIANCE,9
608,11693,APPLIANCE,5
609,11694,APPLIANCE,5
610,,Asbestos,2
611,10001,Asbestos,20
612,10002,Asbestos,18
613,10003,Asbestos,24
614,10004,Asbestos,3
615,10005,Asbestos,1
616,10006,Asbestos,3
617,10007,Asbestos,3
618,10009,Asbestos,21
619,10010,Asbestos,14
620,10011,Asbestos,33
621,10012,Asbestos,20
622,10013,Asbestos,11
623,10014,Asbestos,11
624,10016,Asbestos,25
625,10017,Asbestos,17
626,10018,Asbestos,16
627,10019,Asbestos,17
628,10020,Asbestos,1
629,10021,Asbestos,15
630,10022,Asbestos,13
631,10023,Asbestos,21
632,10024,Asbestos,48
633,10025,Asbestos,40
634,10026,Asbestos,14
635,10027,Asbestos,19
636,10028,Asbestos,14
637,10029,Asbestos,16
638,10030,Asbestos,6
639,10031,Asbestos,22
640,10032,Asbestos,18
641,10033,Asbestos,19
642,10034,Asbestos,8
643,10035,Asbestos,7
644,10036,Asbestos,19
645,10037,Asbestos,8
646,10038,Asbestos,15
647,10039,Asbestos,1
648,10040,Asbestos,6
649,10065,Asbestos,22
650,10075,Asbestos,13
651,10128,Asbestos,11
652,10301,Asbestos,7
653,10303,Asbestos,6
654,10304,Asbestos,3
655,10305,Asbestos,7
656,10306,Asbestos,13
657,10307,Asbestos,2
658,10308,Asbestos,6
659,10309,Asbestos,4
660,10310,Asbestos,3
661,10312,Asbestos,7
662,10314,Asbestos,6
663,10451,Asbestos,9
664,10452,Asbestos,6
665,10453,Asbestos,13
666,10454,Asbestos,6
667,10455,Asbestos,2
668,10456,Asbestos,7
669,10457,Asbestos,6
670,10458,Asbestos,12
671,10459,Asbestos,3
672,10460,Asbestos,10
673,10461,Asbestos,7
674,10462,Asbestos,12
675,10463,Asbestos,21
676,10464,Asbestos,1
677,10465,Asbestos,15
678,10466,Asbestos,5
679,10467,Asbestos,11
680,10468,Asbestos,9
681,10469,Asbestos,13
682,10470,Asbestos,7
683,10471,Asbestos,8
684,10472,Asbestos,11
685,10473,Asbestos,7
686,10474,Asbestos,2
687,10475,Asbestos,9
688,11001,Asbestos,1
689,11004,Asbestos,2
690,11101,Asbestos,18
691,11102,Asbestos,11
692,11103,Asbestos,5
693,11104,Asbestos,6
694,11105,Asbestos,7
695,11106,Asbestos,6
696,11201,Asbestos,34
697,11203,Asbestos,5
698,11204,Asbestos,6
699,11205,Asbestos,26
700,11206,Asbestos,9
701,11207,Asbestos,14
702,11208,Asbestos,10
703,11209,Asbestos,9
704,11210,Asbestos,12
705,11211,Asbestos,18
706,11212,Asbestos,7
707,11213,Asbestos,13
708,11214,Asbestos,10
709,11215,Asbestos,16
710,11216,Asbestos,34
711,11217,Asbestos,5
712,11218,Asbestos,10
713,11219,Asbestos,9
714,11220,Asbestos,9
715,11221,Asbestos,22
716,11222,Asbestos,28
717,11223,Asbestos,6
718,11224,Asbestos,16
719,11225,Asbestos,16
720,11226,Asbestos,10
721,11228,Asbestos,4
722,11229,Asbestos,6
723,11230,Asbestos,19
724,11231,Asbestos,28
725,11232,Asbestos,7
726,11233,Asbestos,14
727,11234,Asbestos,16
728,11235,Asbestos,54
729,11236,Asbestos,9
730,11237,Asbestos,17
731,11238,Asbestos,18
732,11249,Asbestos,13
733,11354,Asbestos,8
734,11355,Asbestos,14
735,11356,Asbestos,4
736,11357,Asbestos,11
737,11358,Asbestos,5
738,11360,Asbestos,2
739,11361,Asbestos,3
740,11362,Asbestos,8
741,11363,Asbestos,3
742,11364,Asbestos,7
743,11365,Asbestos,3
744,11367,Asbestos,5
745,11368,Asbestos,9
746,11369,Asbestos,5
747,11372,Asbestos,23
748,11373,Asbestos,13
749,11374,Asbestos,6
750,11375,Asbestos,11
751,11377,Asbestos,7
752,11378,Asbestos,10
753,11379,Asbestos,7
754,11385,Asbestos,13
755,11411,Asbestos,1
756,11412,Asbestos,4
757,11413,Asbestos,2
758,11414,Asbestos,4
759,11415,Asbestos,2
760,11416,Asbestos,1
761,11417,Asbestos,1
762,11418,Asbestos,6
763,11419,Asbestos,4
764,11420,Asbestos,2
765,11421,Asbestos,4
766,11423,Asbestos,1
767,11426,Asbestos,4
768,11427,Asbestos,3
769,11428,Asbestos,1
770,11429,Asbestos,4
771,11432,Asbestos,11
772,11433,Asbestos,6
773,11434,Asbestos,12
774,11435,Asbestos,2
775,11436,Asbestos,4
776,11691,Asbestos,5
777,11692,Asbestos,7
778,11693,Asbestos,13
779,11694,Asbestos,28
780,11697,Asbestos,5
781,,Beach/Pool/Sauna Complaint,2
782,10001,Beach/Pool/Sauna Complaint,1
783,10002,Beach/Pool/Sauna Complaint,2
784,10003,Beach/Pool/Sauna Complaint,2
785,10009,Beach/Pool/Sauna Complaint,3
786,10010,Beach/Pool/Sauna Complaint,3
787,10011,Beach/Pool/Sauna Complaint,3
788,10013,Beach/Pool/Sauna Complaint,1
789,10024,Beach/Pool/Sauna Complaint,1
790,10025,Beach/Pool/Sauna Complaint,2
791,10036,Beach/Pool/Sauna Complaint,2
792,10039,Beach/Pool/Sauna Complaint,3
793,10065,Beach/Pool/Sauna Complaint,1
794,10075,Beach/Pool/Sauna Complaint,1
795,10128,Beach/Pool/Sauna Complaint,2
796,10301,Beach/Pool/Sauna Complaint,1
797,10302,Beach/Pool/Sauna Complaint,3
798,10303,Beach/Pool/Sauna Complaint,2
799,10305,Beach/Pool/Sauna Complaint,6
800,10306,Beach/Pool/Sauna Complaint,1
801,10307,Beach/Pool/Sauna Complaint,1
802,10310,Beach/Pool/Sauna Complaint,1
803,10312,Beach/Pool/Sauna Complaint,3
804,10314,Beach/Pool/Sauna Complaint,3
805,10462,Beach/Pool/Sauna Complaint,2
806,10463,Beach/Pool/Sauna Complaint,3
807,10464,Beach/Pool/Sauna Complaint,3
808,10465,Beach/Pool/Sauna Complaint,2
809,10468,Beach/Pool/Sauna Complaint,1
810,10471,Beach/Pool/Sauna Complaint,3
811,11101,Beach/Pool/Sauna Complaint,1
812,11201,Beach/Pool/Sauna Complaint,2
813,11205,Beach/Pool/Sauna Complaint,1
814,11209,Beach/Pool/Sauna Complaint,1
815,11211,Beach/Pool/Sauna Complaint,4
816,11213,Beach/Pool/Sauna Complaint,1
817,11214,Beach/Pool/Sauna Complaint,1
818,11218,Beach/Pool/Sauna Complaint,2
819,11219,Beach/Pool/Sauna Complaint,1
820,11224,Beach/Pool/Sauna Complaint,8
821,11229,Beach/Pool/Sauna Complaint,1
822,11231,Beach/Pool/Sauna Complaint,1
823,11232,Beach/Pool/Sauna Complaint,1
824,11234,Beach/Pool/Sauna Complaint,3
825,11235,Beach/Pool/Sauna Complaint,9
826,11238,Beach/Pool/Sauna Complaint,3
827,11354,Beach/Pool/Sauna Complaint,5
828,11355,Beach/Pool/Sauna Complaint,2
829,11356,Beach/Pool/Sauna Complaint,7
830,11360,Beach/Pool/Sauna Complaint,1
831,11362,Beach/Pool/Sauna Complaint,2
832,11364,Beach/Pool/Sauna Complaint,1
833,11368,Beach/Pool/Sauna Complaint,1
834,11374,Beach/Pool/Sauna Complaint,3
835,11375,Beach/Pool/Sauna Complaint,4
836,11418,Beach/Pool/Sauna Complaint,1
837,11421,Beach/Pool/Sauna Complaint,1
838,11427,Beach/Pool/Sauna Complaint,2
839,11432,Beach/Pool/Sauna Complaint,1
840,11434,Beach/Pool/Sauna Complaint,1
841,11691,Beach/Pool/Sauna Complaint,2
842,11694,Beach/Pool/Sauna Complaint,7
843,11697,Beach/Pool/Sauna Complaint,1
844,,Benefit Card Replacement,10187
845,,BEST/Site Safety,71
846,10001,BEST/Site Safety,36
847,10002,BEST/Site Safety,20
848,10003,BEST/Site Safety,13
849,10004,BEST/Site Safety,1
850,10005,BEST/Site Safety,3
851,10006,BEST/Site Safety,3
852,10007,BEST/Site Safety,12
853,10009,BEST/Site Safety,16
854,10010,BEST/Site Safety,7
855,10011,BEST/Site Safety,25
856,10012,BEST/Site Safety,10
857,10013,BEST/Site Safety,32
858,10014,BEST/Site Safety,14
859,10016,BEST/Site Safety,21
860,10017,BEST/Site Safety,6
861,10018,BEST/Site Safety,5
862,10019,BEST/Site Safety,14
863,10021,BEST/Site Safety,12
864,10022,BEST/Site Safety,16
865,10023,BEST/Site Safety,7
866,10024,BEST/Site Safety,4
867,10025,BEST/Site Safety,12
868,10026,BEST/Site Safety,7
869,10027,BEST/Site Safety,9
870,10028,BEST/Site Safety,7
871,10029,BEST/Site Safety,13
872,10030,BEST/Site Safety,4
873,10031,BEST/Site Safety,4
874,10032,BEST/Site Safety,13
875,10033,BEST/Site Safety,4
876,10034,BEST/Site Safety,1
877,10036,BEST/Site Safety,15
878,10037,BEST/Site Safety,3
879,10038,BEST/Site Safety,25
880,10039,BEST/Site Safety,2
881,10044,BEST/Site Safety,2
882,10065,BEST/Site Safety,9
883,10069,BEST/Site Safety,1
884,10075,BEST/Site Safety,8
885,10119,BEST/Site Safety,4
886,10128,BEST/Site Safety,16
887,10303,BEST/Site Safety,1
888,10304,BEST/Site Safety,1
889,10305,BEST/Site Safety,6
890,10306,BEST/Site Safety,8
891,10308,BEST/Site Safety,1
892,10312,BEST/Site Safety,3
893,10314,BEST/Site Safety,10
894,10451,BEST/Site Safety,2
895,10452,BEST/Site Safety,5
896,10453,BEST/Site Safety,4
897,10454,BEST/Site Safety,7
898,10455,BEST/Site Safety,2
899,10456,BEST/Site Safety,8
900,10457,BEST/Site Safety,6
901,10458,BEST/Site Safety,6
902,10460,BEST/Site Safety,21
903,10461,BEST/Site Safety,15
904,10462,BEST/Site Safety,3
905,10463,BEST/Site Safety,7
906,10464,BEST/Site Safety,1
907,10465,BEST/Site Safety,3
908,10466,BEST/Site Safety,3
909,10467,BEST/Site Safety,13
910,10468,BEST/Site Safety,4
911,10469,BEST/Site Safety,6
912,10471,BEST/Site Safety,1
913,10472,BEST/Site Safety,1
914,10473,BEST/Site Safety,3
915,10475,BEST/Site Safety,3
916,11004,BEST/Site Safety,1
917,11101,BEST/Site Safety,28
918,11102,BEST/Site Safety,11
919,11103,BEST/Site Safety,10
920,11104,BEST/Site Safety,1
921,11105,BEST/Site Safety,2
922,11106,BEST/Site Safety,5
923,11109,BEST/Site Safety,1
924,11201,BEST/Site Safety,27
925,11203,BEST/Site Safety,6
926,11205,BEST/Site Safety,12
927,11206,BEST/Site Safety,35
928,11207,BEST/Site Safety,11
929,11208,BEST/Site Safety,3
930,11209,BEST/Site Safety,2
931,11210,BEST/Site Safety,2
932,11211,BEST/Site Safety,26
933,11212,BEST/Site Safety,1
934,11213,BEST/Site Safety,4
935,11214,BEST/Site Safety,10
