Zipcode,IncomePerCapita,PopOver25,LessThanHS,HighSchool,SomeCollege,Bachelor,Master,Doctorate,ProfSchool
11104,31798,20403,2606,4947,4360,5727,2088,118,557
11105,33350,28101,4410,5438,5594,8214,3618,271,556
11106,31376,29429,4971,6229,6014,7780,3191,521,723
11109,91699,3638,0,148,485,1295,1041,99,570
11201,68287,43120,3308,4544,5549,14450,9032,1311,4926
11203,22555,52758,8090,18236,15846,7089,2988,194,315
11204,20284,51638,14269,16034,8532,8520,3234,216,833
11205,26331,25396,4756,5439,4602,5762,3651,351,835
11206,17241,49720,15899,12693,10542,7835,2130,181,440
11207,16386,55796,15930,19131,13590,4876,1890,203,176
11208,15154,54079,12216,25465,10238,4505,1405,109,141
11209,36870,53028,6934,11996,10777,13464,6801,883,2173
11210,25229,42361,4763,13767,9934,8725,3885,405,882
11211,30557,61672,11811,11961,11214,17587,6567,719,1813
11212,15814,52986,13482,19567,14043,4395,1271,38,190
11213,18635,39245,8414,12609,10203,5039,2354,186,440
11214,23134,63783,16902,19799,10703,10886,4180,354,959
11215,58737,51584,4194,4709,6426,18100,12244,1883,4028
11216,28134,39549,6432,9610,8551,9217,4512,512,715
11217,53380,29747,3774,3325,4108,9809,5731,734,2266
11218,24828,47215,9390,10430,8305,10487,6431,906,1266
11219,14419,54307,18979,18457,8052,6011,2136,227,445
11220,16257,66466,31721,14273,8254,8299,2981,433,505
11221,19340,53122,15824,14683,11893,7347,2791,213,371
11222,40119,28366,2672,4908,5459,9778,4360,281,908
11223,22570,52320,12360,16902,9738,8839,3561,357,563
11224,20916,30853,6258,8480,6624,6270,2527,174,520
11225,23552,40273,6576,10853,10695,7531,3656,266,696
11226,21483,66321,13572,21458,16243,10303,3882,331,532
11228,29683,32565,7404,9513,5949,5923,2612,330,834
11229,27246,57460,8788,16911,10905,13132,5776,566,1382
11230,23792,55402,9668,13528,11697,12037,6386,884,1202
11231,52748,26341,3214,4178,3397,8825,5059,420,1248
11232,19325,19397,6976,4782,3438,2341,1441,157,262
11233,19696,44290,10987,14177,10640,5943,1941,187,415
11234,29736,64755,7520,19428,17397,12601,6239,465,1105
11235,29182,57017,5885,14180,12076,16653,5432,752,2039
11236,24929,64594,10358,18876,18882,10837,4762,226,653
11237,18373,33588,15846,6443,4720,4574,1645,89,271
11238,40557,39020,3623,5969,7335,12021,7414,825,1833
11239,19169,9165,1870,2696,2513,975,1018,67,26
11354,23833,43857,9847,13074,9819,7735,2638,197,547
11355,19811,62111,17407,17547,11789,10008,4068,439,853
11356,24417,15875,3204,5445,3621,2549,960,8,88
11357,34857,29613,4276,8313,6725,6420,2605,377,897
11358,30097,27897,4216,7005,6511,6372,2951,270,572
11359,,0,0,0,0,0,0,0,0
11360,43697,15453,1018,3284,3289,4214,2397,339,912
11361,33806,22151,2506,5158,5280,5769,2532,416,490
11362,38018,13850,1412,2526,3069,3987,1841,357,658
11363,42724,5201,352,924,1262,1594,713,106,250
11364,33783,25789,2643,5788,5586,7048,3582,383,759
11365,27555,30513,4302,7122,8263,6294,3153,455,924
11366,31680,9006,998,2003,1892,2430,1265,183,235
11367,26144,26904,3639,6806,5533,6344,3232,439,911
11368,16061,70910,28311,21808,12780,5596,1576,93,746
11369,21072,26675,6188,10019,5410,3333,1334,64,327
11370,18161,24929,7271,7839,4747,3222,1522,95,233
11371,,0,0,0,0,0,0,0,0
11372,25416,46674,11200,11561,9751,9307,3686,436,733
11373,21905,72154,20757,17729,14547,13657,3865,558,1041
11374,32415,32871,3113,6549,7679,9700,4110,573,1147
11375,44032,53547,3798,8927,10186,16290,9680,1475,3191
11377,23505,64053,16693,16021,13270,12439,4417,444,769
11378,29422,22638,3517,7874,5631,3853,1414,100,249
11379,33357,26619,4053,8128,6177,5225,2355,224,457
11385,24197,67375,14025,23560,15476,9868,3648,232,566
11411,31752,14075,1424,4350,4057,2561,1426,137,120
11412,25496,25459,3191,7826,8913,3718,1575,81,155
11413,28580,28147,3696,7777,9391,4533,2319,182,249
11414,35199,21417,3033,7277,5217,3982,1550,125,233
11415,35734,14201,1522,2584,3786,3331,2258,247,473
11416,21338,16488,4143,4728,3942,2659,732,74,210
11417,24237,21013,4782,6926,4896,2976,1112,104,217
11418,23317,24493,5805,6819,5408,4163,1916,111,271
11419,19170,32240,8673,12126,5852,4255,1116,72,146
11420,22129,33075,7978,11431,7866,4358,1114,35,293
11421,23475,27701,6510,8411,6765,4066,1617,109,223
11422,29035,21424,2528,5292,7434,4159,1551,171,289
11423,25657,22184,4123,6312,5841,3941,1345,152,470
11426,31453,13697,1617,3948,3110,3013,1632,107,270
11427,29657,16796,2658,4586,3942,3753,1430,152,275
11428,23357,14424,2663,4965,3752,2231,684,40,89
11429,24564,18808,2933,6309,5829,2463,1042,52,180
11430,8278,148,42,74,14,12,6,0,0
11432,21641,41061,9340,9535,8049,8830,3754,458,1095
11433,17236,21483,4976,6638,6076,2770,882,33,108
11434,23690,42489,6453,13267,13384,6121,2820,112,332
11435,23353,37872,8114,10428,8178,7212,3020,286,634
11436,23204,12349,2137,4479,3579,1462,615,32,45
11691,19097,37582,11290,10248,8695,4598,2018,305,428
11692,21118,11217,2852,2867,3316,1369,534,10,269
11693,25732,7560,1304,2353,2033,1390,323,74,83
11694,37351,15407,1812,3238,4383,3154,1977,154,689
11697,39540,2899,130,808,678,740,411,20,112
