Unique Key,Incident Zip,Complaint Type,Descriptor
34089131,11420.0,Food Establishment,Food Spoiled
34089533,11426.0,Food Establishment,Food Contaminated
34089534,11211.0,Food Establishment,Rodents/Insects/Garbage
34089634,10461.0,Food Establishment,Food Contaminated
34089766,11420.0,Food Establishment,Letter Grading
34090032,11103.0,Food Establishment,Rodents/Insects/Garbage
34090097,11237.0,Food Poisoning,1 or 2
34090251,11201.0,Food Establishment,Food Spoiled
34090819,11214.0,Food Establishment,Food Temperature
34090845,11207.0,Food Establishment,Food Contains Foreign Object
34091156,11372.0,Food Establishment,Food Temperature
34091195,10312.0,Food Establishment,Food Temperature
34091272,10306.0,Food Establishment,Rodents/Insects/Garbage
34091911,11357.0,Food Establishment,Bare Hands in Contact w/ Food
34091920,10314.0,Smoking,Smoking Violation
34091927,10003.0,Food Establishment,Odor
34091999,11372.0,Food Poisoning,1 or 2
34092212,10028.0,Food Establishment,Rodents/Insects/Garbage
34092218,99999.0,Food Poisoning,1 or 2
34092351,11367.0,Food Establishment,Bare Hands in Contact w/ Food
34092365,11354.0,Food Establishment,Food Contaminated
34092387,10014.0,Food Establishment,Food Preparation Location
34092388,10037.0,Food Establishment,Food Worker Hygiene
34092442,10022.0,Food Establishment,Food Worker Hygiene
34092872,11223.0,Food Establishment,Facility Construction
34092873,11385.0,Food Establishment,Odor
34092904,10036.0,Food Establishment,Facility Construction
34092945,11207.0,Food Establishment,Food Spoiled
34093005,11220.0,Food Establishment,Food Contains Foreign Object
34093039,10036.0,Food Establishment,Letter Grading
34093437,10314.0,Food Establishment,Rodents/Insects/Garbage
34093466,10023.0,Food Establishment,Bare Hands in Contact w/ Food
34094071,11201.0,Food Establishment,Kitchen/Food Prep Area
34094172,11216.0,Food Establishment,Food Spoiled
34094191,10038.0,Food Establishment,Food Spoiled
34094432,10016.0,Food Establishment,Dishwashing/Utensils
34094545,10036.0,Food Establishment,Water
34094596,10016.0,Food Establishment,Food Spoiled
34094598,10462.0,Food Establishment,Food Preparation Location
34095142,10014.0,Smoking,Smoking Violation
34095226,10302.0,Food Poisoning,1 or 2
34095238,11204.0,Food Establishment,Food Contains Foreign Object
34095562,11368.0,Food Establishment,Toilet Facility
34095692,11355.0,Food Establishment,Bare Hands in Contact w/ Food
34095875,10451.0,Food Establishment,Rodents/Insects/Garbage
34096226,10014.0,Calorie Labeling,Failure to Post Calorie Information
34096264,11222.0,Food Establishment,Kitchen/Food Prep Area
34096823,10306.0,Food Establishment,Rodents/Insects/Garbage
34096832,11249.0,Food Establishment,Rodents/Insects/Garbage
34096904,11372.0,Food Establishment,Food Worker Hygiene
34097299,11372.0,Food Establishment,Rodents/Insects/Garbage
34097374,10011.0,Food Establishment,Permit/License/Certificate
34097475,10016.0,Food Establishment,Odor
34097498,11375.0,Food Establishment,Food Spoiled
34097787,10463.0,Food Poisoning,1 or 2
34097918,10025.0,Food Establishment,Rodents/Insects/Garbage
34097925,11372.0,Food Establishment,Rodents/Insects/Garbage
34098807,11221.0,Food Poisoning,1 or 2
34099526,11201.0,Food Establishment,Food Contains Foreign Object
34099576,11355.0,Food Establishment,Food Contains Foreign Object
34099805,10036.0,Food Establishment,Toilet Facility
34100028,10002.0,Food Establishment,Rodents/Insects/Garbage
34100057,11223.0,Food Establishment,Rodents/Insects/Garbage
34100219,10036.0,Food Establishment,Facility Construction
34101143,11101.0,Food Establishment,Food Contaminated
34101151,10017.0,Food Establishment,Rodents/Insects/Garbage
34101179,11368.0,Food Establishment,Food Spoiled
34101180,10002.0,Food Establishment,Bare Hands in Contact w/ Food
45622262,11233.0,Food Establishment,Pesticide
34101656,10028.0,Food Establishment,Food Protection
34101783,11372.0,Food Establishment,Odor
34102039,10003.0,Food Poisoning,1 or 2
34102048,10040.0,Food Establishment,Letter Grading
34102197,11209.0,Food Establishment,Food Contaminated
34102211,10012.0,Food Establishment,Rodents/Insects/Garbage
34102738,11206.0,Food Establishment,Food Contaminated
34102743,11372.0,Food Establishment,Toilet Facility
34103049,11372.0,Food Establishment,Dishwashing/Utensils
34103228,11207.0,Food Establishment,Rodents/Insects/Garbage
34103245,11211.0,Food Establishment,Rodents/Insects/Garbage
34103541,10310.0,Food Establishment,Rodents/Insects/Garbage
34103813,10011.0,Food Establishment,Toilet Facility
34103855,11434.0,Food Poisoning,3 or More
34103857,10033.0,Food Establishment,Food Contains Foreign Object
34103881,11372.0,Food Establishment,Food Spoiled
34103974,11364.0,Food Establishment,Handwashing
34104218,11374.0,Food Poisoning,1 or 2
34104397,10031.0,Food Establishment,Food Temperature
34105283,11224.0,Food Establishment,Food Worker Hygiene
34105464,10462.0,Food Establishment,Bare Hands in Contact w/ Food
34105469,10304.0,Food Establishment,Kitchen/Food Prep Area
34105486,11354.0,Food Establishment,Rodents/Insects/Garbage
34105514,11372.0,Food Establishment,Bare Hands in Contact w/ Food
34105685,10453.0,Food Establishment,Pet/Animal
34105738,11101.0,Food Establishment,Permit/License/Certificate
34106241,11239.0,Food Establishment,Letter Grading
34106723,10036.0,Food Establishment,Food Protection
34107046,10013.0,Food Establishment,Food Spoiled
34107135,11213.0,Food Establishment,Odor
34107262,10013.0,Food Establishment,Odor
34107313,11697.0,Food Establishment,Pet/Animal
34107356,11377.0,Food Establishment,Bare Hands in Contact w/ Food
34107512,11215.0,Food Establishment,Letter Grading
34107513,11238.0,Food Establishment,Letter Grading
34107548,10458.0,Food Poisoning,1 or 2
34107737,11201.0,Food Establishment,Rodents/Insects/Garbage
34107765,10459.0,Food Establishment,Kitchen/Food Prep Area
34108061,11208.0,Food Establishment,Rodents/Insects/Garbage
34108171,11235.0,Food Establishment,Food Contains Foreign Object
34108390,11235.0,Food Establishment,Food Spoiled
34108516,11206.0,Food Establishment,Rodents/Insects/Garbage
34108527,11357.0,Food Establishment,Rodents/Insects/Garbage
34108602,10001.0,Food Poisoning,1 or 2
34108848,11235.0,Food Establishment,Rodents/Insects/Garbage
34109739,10002.0,Food Poisoning,1 or 2
34109751,10465.0,Food Establishment,Food Spoiled
34109754,11235.0,Smoking,Smoking Violation
34109852,10464.0,Food Establishment,Pet/Animal
34110499,11366.0,Food Poisoning,1 or 2
34110569,11201.0,Food Establishment,Food Spoiled
34110683,10002.0,Food Establishment,Rodents/Insects/Garbage
34110768,11377.0,Food Establishment,Letter Grading
34110995,11355.0,Food Establishment,Rodents/Insects/Garbage
34111070,10002.0,Food Establishment,Kitchen/Food Prep Area
34111396,10308.0,Food Establishment,Food Spoiled
34111536,10003.0,Food Poisoning,1 or 2
34111537,11433.0,Food Poisoning,1 or 2
34111574,10002.0,Food Establishment,Food Spoiled
34111626,11697.0,Food Establishment,Bare Hands in Contact w/ Food
34111923,10003.0,Food Poisoning,1 or 2
34112029,10030.0,Food Establishment,Rodents/Insects/Garbage
34112107,11377.0,Food Establishment,Food Protection
34112347,11355.0,Food Establishment,Food Contaminated
34112446,10003.0,Food Establishment,Ventilation
34112940,11226.0,Food Poisoning,1 or 2
34113463,11375.0,Food Establishment,Food Contaminated
34113580,11414.0,Food Poisoning,3 or More
34114006,11433,Food Poisoning,1 or 2
34114573,10036,Food Establishment,No Permit or License
34114744,10009,Food Establishment,Pesticide
34115071,10027,Food Poisoning,1 or 2
34115247,11374,Food Establishment,Rodents/Insects/Garbage
34115263,11212,Food Establishment,Rodents/Insects/Garbage
34115313,10456,Food Establishment,Food Spoiled
34116100,11219,Food Poisoning,1 or 2
34116236,11218,Food Establishment,Rodents/Insects/Garbage
34116268,10011,Food Establishment,Rodents/Insects/Garbage
34116269,10065,Food Establishment,Pet/Animal
34116291,11365,Food Establishment,Bare Hands in Contact w/ Food
34116324,11234,Food Establishment,Food Preparation Location
34116755,11377,Food Establishment,Permit/License/Certificate
34117103,11420,Food Establishment,Food Protection
34117128,11368,Food Poisoning,1 or 2
34117148,11214,Food Poisoning,1 or 2
34117159,10025,Food Establishment,Letter Grading
34117180,11361,Food Poisoning,1 or 2
34117313,10003,Food Establishment,Toilet Facility
34117420,11222,Food Establishment,Bare Hands in Contact w/ Food
34117613,10128,Food Poisoning,3 or More
34117870,11226,Food Establishment,Food Contains Foreign Object
34117890,11238,Food Establishment,Food Spoiled
34118128,11231,Food Establishment,Letter Grading
34118158,10034,Food Establishment,Letter Grading
34118364,10304,Food Establishment,Bare Hands in Contact w/ Food
34118476,11105,Food Establishment,Pet/Animal
34118848,10024,Food Establishment,Food Spoiled
34119398,10304,Food Establishment,Food Temperature
34119415,10036,Food Establishment,Food Temperature
34119471,10003,Food Establishment,Pet/Animal
34119480,11420,Food Establishment,Rodents/Insects/Garbage
34119505,11106,Food Establishment,Bare Hands in Contact w/ Food
34120335,11366,Food Establishment,Rodents/Insects/Garbage
34120336,10040,Food Establishment,Rodents/Insects/Garbage
34121380,10462,Food Establishment,Food Spoiled
34122330,11214,Food Establishment,Rodents/Insects/Garbage
34122331,11106,Food Establishment,Rodents/Insects/Garbage
34122348,11222,Food Establishment,Bare Hands in Contact w/ Food
34122687,10019,Food Poisoning,3 or More
34123079,11416,Food Poisoning,3 or More
34123379,11206,Food Establishment,Food Contains Foreign Object
34123586,10003,Food Establishment,Rodents/Insects/Garbage
34123717,11207,Food Poisoning,1 or 2
34123752,10027,Food Poisoning,1 or 2
34123771,11229,Food Establishment,Rodents/Insects/Garbage
34124384,10011,Food Establishment,Rodents/Insects/Garbage
34124590,10017,Food Establishment,Food Contains Foreign Object
34124937,11206,Food Poisoning,1 or 2
34124968,11355,Food Establishment,Kitchen/Food Prep Area
34124989,10034,Food Establishment,Bare Hands in Contact w/ Food
34125044,11205,Food Establishment,Allergy Information
34125536,11217,Food Establishment,Food Worker Hygiene
34125948,11215,Food Establishment,Kitchen/Food Prep Area
34126081,11691,Food Establishment,Food Spoiled
34126794,10012,Food Establishment,Food Contains Foreign Object
34127179,10460,Food Establishment,Rodents/Insects/Garbage
34127289,10451,Food Establishment,Odor
34127996,11418,Food Poisoning,1 or 2
34128289,10014,Food Establishment,Rodents/Insects/Garbage
34128915,10023,Food Establishment,Rodents/Insects/Garbage
34128939,11435,Food Establishment,Toilet Facility
34128944,10040,Food Establishment,Food Spoiled
34128949,11377,Food Establishment,Letter Grading
34128979,11372,Food Establishment,Food Spoiled
34129208,10033,Food Establishment,Food Spoiled
34129326,10016,Food Establishment,Kitchen/Food Prep Area
34129367,10013,Food Establishment,Letter Grading
34129705,10458,Food Establishment,Bare Hands in Contact w/ Food
34129999,11211,Food Establishment,Rodents/Insects/Garbage
34131351,11208,Food Establishment,Water
34131366,10312,Food Establishment,Kitchen/Food Prep Area
34131582,11204,Food Establishment,Food Protection
34131742,11226,Food Poisoning,1 or 2
34132198,10472,Food Establishment,Pet/Animal
34132240,11369,Food Establishment,Rodents/Insects/Garbage
34132592,11226,Food Establishment,Kitchen/Food Prep Area
34132725,10464,Food Establishment,Rodents/Insects/Garbage
34132885,10312,Food Establishment,Rodents/Insects/Garbage
34133393,10013,Food Establishment,Food Spoiled
34133716,10003,Food Establishment,Rodents/Insects/Garbage
34134110,10025,Food Poisoning,3 or More
34134717,10002,Food Establishment,Rodents/Insects/Garbage
34134743,11428,Food Establishment,Food Worker Hygiene
34135065,11385,Food Poisoning,1 or 2
34135213,10028,Food Establishment,Pet/Animal
34135522,11208,Food Establishment,Bare Hands in Contact w/ Food
34135770,11239,Food Establishment,Food Contains Foreign Object
34135868,10462,Food Establishment,Rodents/Insects/Garbage
34136004,11220,Food Establishment,Rodents/Insects/Garbage
45622305,11226,Food Establishment,Food Contaminated
34136606,10010,Food Establishment,Rodents/Insects/Garbage
34136647,11220,Food Establishment,Rodents/Insects/Garbage
34137029,10013,Food Establishment,Food Spoiled
34137154,10301,Food Poisoning,1 or 2
34137450,10025,Food Establishment,Food Contains Foreign Object
34137679,10469,Food Establishment,Letter Grading
34137702,10037,Food Poisoning,1 or 2
34138051,11358,Food Establishment,Food Worker Hygiene
34138290,11372,Food Establishment,Food Contains Foreign Object
34138339,10007,Food Establishment,No Permit or License
34138491,11354,Food Establishment,Rodents/Insects/Garbage
34138548,10017,Food Poisoning,1 or 2
34138744,11368,Food Establishment,Food Contaminated
34138898,10472,Food Establishment,Handwashing
34139375,11106,Food Establishment,Dishwashing/Utensils
34139605,11235,Food Establishment,Rodents/Insects/Garbage
34139995,11428,Food Establishment,Odor
34140475,11373,Food Establishment,Food Spoiled
34140565,10310,Food Establishment,Odor
34140717,10003,Food Establishment,Rodents/Insects/Garbage
34140756,11207,Food Poisoning,1 or 2
34141014,11369,Food Establishment,Rodents/Insects/Garbage
34141101,11691,Food Establishment,Food Spoiled
34141420,10475,Food Establishment,Rodents/Insects/Garbage
34141435,10003,Food Establishment,Rodents/Insects/Garbage
34141515,10026,Food Establishment,Food Temperature
34141619,10025,Food Establishment,Food Spoiled
34141702,10029,Food Establishment,Food Spoiled
34141885,10466,Food Establishment,Rodents/Insects/Garbage
34141953,10032,Food Poisoning,1 or 2
34141999,11215,Food Establishment,Rodents/Insects/Garbage
34142559,10019,Food Establishment,Letter Grading
34142566,10016,Food Establishment,Letter Grading
34143926,11233,Food Establishment,Rodents/Insects/Garbage
34144072,11101,Food Establishment,Facility Construction
34144320,10014,Food Establishment,Odor
34144450,10031,Food Establishment,Food Contains Foreign Object
34144473,11385,Food Establishment,Odor
34145024,11221,Food Establishment,Rodents/Insects/Garbage
34145183,11217,Food Establishment,Kitchen/Food Prep Area
34145541,10032,Food Establishment,Food Spoiled
34145793,10001,Food Poisoning,1 or 2
34145897,10458,Food Poisoning,1 or 2
34146101,11368,Food Establishment,Rodents/Insects/Garbage
34146216,10024,Food Establishment,Pet/Animal
34146425,11212,Food Poisoning,3 or More
34147191,11355,Food Establishment,Rodents/Insects/Garbage
34147510,11210,Food Establishment,Food Protection
34147735,11226,Food Establishment,Food Spoiled
34148206,11211,Food Establishment,Rodents/Insects/Garbage
34148290,11105,Food Establishment,Toilet Facility
34148299,11105,Food Establishment,Rodents/Insects/Garbage
34148790,10014,Food Establishment,Food Contains Foreign Object
34148987,11417,Food Poisoning,1 or 2
34149413,10314,Food Establishment,Bare Hands in Contact w/ Food
34149414,10013,Food Establishment,Bare Hands in Contact w/ Food
34149569,10032,Food Establishment,Food Spoiled
34149849,11220,Food Establishment,Kitchen/Food Prep Area
34150077,11208,Food Establishment,Letter Grading
34150228,10034,Food Establishment,Letter Grading
34150353,11213,Food Establishment,Rodents/Insects/Garbage
34150618,10466,Food Poisoning,3 or More
34150691,10029,Food Establishment,Pet/Animal
34151009,10002,Food Establishment,Food Contains Foreign Object
34151618,10011,Food Establishment,Pet/Animal
34151948,10467,Food Establishment,Permit/License/Certificate
34152408,11236,Food Poisoning,1 or 2
34152411,10028,Food Poisoning,1 or 2
34152596,10301,Food Establishment,Bare Hands in Contact w/ Food
34152652,10302,Food Establishment,Food Preparation Location
34153583,11373,Food Establishment,Letter Grading
34153588,11354,Food Establishment,Rodents/Insects/Garbage
34153600,11213,Food Establishment,Bare Hands in Contact w/ Food
34153616,10029,Food Establishment,Rodents/Insects/Garbage
34153627,10017,Food Establishment,Food Worker Hygiene
34153921,10032,Food Poisoning,3 or More
15713226,11367,Food Poisoning,3 or More
34154681,10001,Food Establishment,Bare Hands in Contact w/ Food
34154944,10011,Food Establishment,Pet/Animal
34155238,11220,Food Establishment,Food Spoiled
34155628,10013,Food Poisoning,1 or 2
34155631,11223,Food Poisoning,1 or 2
34155632,10018,Food Poisoning,1 or 2
34155727,10473,Food Establishment,Bare Hands in Contact w/ Food
34155745,10014,Food Establishment,Rodents/Insects/Garbage
34155793,11211,Food Establishment,Rodents/Insects/Garbage
34156774,11354,Food Establishment,Rodents/Insects/Garbage
34156868,11354,Food Establishment,Rodents/Insects/Garbage
34157273,11694,Food Establishment,Facility Construction
34157300,10019,Food Establishment,Toilet Facility
34157415,11694,Food Establishment,Letter Grading
34157540,10032,Food Establishment,Letter Grading
34157835,10012,Food Establishment,Rodents/Insects/Garbage
34157960,11373,Food Establishment,Rodents/Insects/Garbage
34158154,11358,Food Poisoning,3 or More
34158157,10029,Food Establishment,Permit/License/Certificate
21368192,11385,Food Establishment,Food Spoiled
34158725,11211,Food Poisoning,1 or 2
34159271,11235,Food Establishment,Odor
34159387,11207,Food Establishment,Food Contains Foreign Object
34159388,10013,Food Establishment,Food Contains Foreign Object
34159549,10461,Food Establishment,Food Worker Activity
34159869,10128,Food Establishment,Rodents/Insects/Garbage
34159889,10462,Food Establishment,Bare Hands in Contact w/ Food
34160084,10002,Food Establishment,Food Contaminated
34160790,11211,Food Establishment,Rodents/Insects/Garbage
34160816,11213,Food Establishment,Rodents/Insects/Garbage
34160832,10472,Food Establishment,Bare Hands in Contact w/ Food
34160887,10013,Food Establishment,Food Spoiled
34161100,10013,Food Establishment,Food Temperature
34161231,11355,Smoking,Smoking Violation
34161300,10026,Food Establishment,Food Spoiled
34161789,11221,Food Establishment,Rodents/Insects/Garbage
34161991,10017,Food Establishment,Food Contaminated
34162077,11208,Food Establishment,Rodents/Insects/Garbage
34162249,11354,Smoking,Smoking Violation
34162588,11221,Food Establishment,Sewage
34162594,10128,Food Poisoning,1 or 2
34162673,10029,Food Poisoning,1 or 2
34162802,10454,Food Establishment,Food Spoiled
34162824,10040,Food Establishment,Rodents/Insects/Garbage
34162827,11694,Food Establishment,Rodents/Insects/Garbage
34163296,10280,Food Poisoning,1 or 2
34163312,10029,Food Poisoning,1 or 2
34163621,11209,Food Poisoning,1 or 2
34163706,11206,Food Poisoning,1 or 2
34164413,11106,Food Establishment,Food Spoiled
34164615,11354,Food Poisoning,1 or 2
34164823,11374,Food Establishment,Rodents/Insects/Garbage
34165417,10468,Food Establishment,Food Spoiled
34165785,11214,Food Establishment,Rodents/Insects/Garbage
34166069,10016,Food Establishment,Food Worker Illness
34166812,11204,Food Establishment,Rodents/Insects/Garbage
34167099,11418,Food Establishment,Kitchen/Food Prep Area
34167240,10034,Food Establishment,Kitchen/Food Prep Area
34167343,11419,Food Establishment,Food Contains Foreign Object
34167602,10166,Food Establishment,Letter Grading
34167608,10451,Food Establishment,Toilet Facility
34167643,10036,Food Poisoning,1 or 2
34167646,10011,Food Poisoning,1 or 2
34168255,10465,Food Establishment,Food Contains Foreign Object
34168702,10033,Food Establishment,Rodents/Insects/Garbage
34168747,11201,Food Establishment,Rodents/Insects/Garbage
34168833,11233,Food Establishment,Kitchen/Food Prep Area
34168908,11385,Food Establishment,Rodents/Insects/Garbage
34169311,10016,Food Establishment,Food Contains Foreign Object
34169362,11226,Food Poisoning,1 or 2
34169878,10019,Food Establishment,Rodents/Insects/Garbage
34170351,11420,Food Establishment,Food Contains Foreign Object
34170843,10473,Food Establishment,Rodents/Insects/Garbage
34171008,11103,Food Establishment,Food Contaminated
34171276,10014,Food Poisoning,3 or More
34171522,11223,Food Poisoning,1 or 2
34171710,11385,Food Establishment,Bare Hands in Contact w/ Food
34171723,10036,Food Establishment,Rodents/Insects/Garbage
34171783,11106,Food Establishment,Pet/Animal
34172560,10025,Food Establishment,Letter Grading
34172687,11372,Food Establishment,Rodents/Insects/Garbage
34172737,11233,Food Establishment,Bare Hands in Contact w/ Food
34173130,11229,Food Establishment,Kitchen/Food Prep Area
34173288,11225,Food Establishment,Food Spoiled
34173696,10010,Food Establishment,Bare Hands in Contact w/ Food
34173833,11435,Food Establishment,Rodents/Insects/Garbage
34174047,10003,Food Establishment,Sign
34174295,10002,Food Establishment,Food Contains Foreign Object
34174487,10025,Food Poisoning,1 or 2
34174502,10002,Food Establishment,No Permit or License
34174643,10463,Food Poisoning,1 or 2
34174819,11226,Food Establishment,Food Temperature
34174834,10002,Food Establishment,Food Contaminated
34174906,10007,Food Establishment,Bare Hands in Contact w/ Food
34175191,11423,Food Establishment,Kitchen/Food Prep Area
34175300,10463,Food Establishment,Food Spoiled
34175326,11213,Food Establishment,Rodents/Insects/Garbage
34175345,10019,Food Establishment,Kitchen/Food Prep Area
34175407,10031,Food Establishment,Food Contains Foreign Object
34175576,10022,Food Establishment,Facility Construction
34175612,11209,Food Poisoning,1 or 2
34175630,10031,Food Establishment,Bare Hands in Contact w/ Food
34175687,11206,Food Establishment,Allergy Information
34175975,11354,Food Establishment,Bare Hands in Contact w/ Food
34176279,11375,Food Poisoning,1 or 2
34176423,10304,Food Poisoning,1 or 2
34176500,10002,Food Establishment,Food Spoiled
34176537,10011,Food Establishment,Rodents/Insects/Garbage
34176546,10461,Food Establishment,Rodents/Insects/Garbage
34176572,10038,Food Establishment,Pet/Animal
21388712,11368,Food Establishment,Rodents/Insects/Garbage
34176985,10458,Food Poisoning,1 or 2
34177169,11237,Food Establishment,Rodents/Insects/Garbage
34177522,10013,Food Poisoning,1 or 2
34177536,11201,Food Establishment,Rodents/Insects/Garbage
34178209,10018,Food Establishment,Letter Grading
34178390,10016,Food Establishment,Rodents/Insects/Garbage
34179040,10009,Food Establishment,Rodents/Insects/Garbage
